黄脚三趾鹑 Turnix tanki
矛斑蝗莺 Locustella lanceolata
远东苇莺 Acrocephalus tangorum
小鸦鹃 Centropus bengalensis
小星头啄木鸟 Yungipicus kizuki
钝翅苇莺 Acrocephalus concinens
红翅凤头鹃 Clamator coromandus
琉璃蓝鹟 Cyanoptila cumatilis
淡尾鹟莺 Phylloscopus soror
白背啄木鸟 Dendrocopos leucotos
中杜鹃 Cuculus saturatus
褐马鸡 Crossoptilon mantchuricum
白眉地鸫 Geokichla sibirica
白颈鸦 Corvus torquatus
黄爪隼 Falco naumanni
领雀嘴鹎 Spizixos semitorques
雕鸮 Bubo bubo
红胸姬鹟 Ficedula parva
白冠攀雀 Remiz coronatus
角䴙䴘 Podiceps auritus
灰背隼 Falco columbarius
白眉鸫 Turdus obscurus
白喉林莺/沙白喉林莺/休氏白喉林莺 Curruca curruca
黑海番鸭 Melanitta americana
长尾雀/中华长尾雀 Carpodacus sibiricus
长耳鸮 Asio otus
红胁蓝尾鸲 Tarsiger cyanurus
三趾鸥 Rissa tridactyla
灰山椒鸟 Pericrocotus divaricatus
烟腹毛脚燕 Delichon dasypus
红胁绣眼鸟 Zosterops erythropleurus
绿背姬鹟 Ficedula elisae
黄胸鹀 Emberiza aureola
寿带 Terpsiphone incei
紫背苇鳽 Botaurus eurhythmus
白胸苦恶鸟 Amaurornis phoenicurus
石鸡 Alectoris chukar
爪哇池鹭 Ardeola speciosa
红胸田鸡 Zapornia fusca
三宝鸟 Eurystomus orientalis
水雉 Hydrophasianus chirurgus
灰林鸮 Strix nivicolum
普通燕鸻 Glareola maldivarum
普通夜鹰 Caprimulgus jotaka
山鹡鸰 Dendronanthus indicus
大沙锥 Gallinago megala
褐胸鹟 Muscicapa muttui
白腹毛脚燕 Delichon lagopodum
白喉针尾雨燕 Hirundapus caudacutus
远东树莺 Horornis canturians
长趾滨鹬 Calidris subminuta
崖沙燕 Riparia riparia
红角鸮 Otus sunia
白喉矶鸫 Monticola gularis
棕腹大仙鹟 Niltava davidi
黑颈䴙䴘 Podiceps nigricollis
红嘴巨燕鸥 Hydroprogne caspia
遗鸥 Ichthyaetus relictus
青脚滨鹬 Calidris temminckii
环颈鸻 Anarhynchus alexandrinus
靴隼雕 Hieraaetus pennatus
乌雕 Clanga clanga
短趾雕 Circaetus gallicus
卷羽鹈鹕 Pelecanus crispus
白鹤 Leucogeranus leucogeranus
白顶溪鸲 Phoenicurus leucocephalus
亚洲短趾百灵 Alaudala cheleensis
白额雁 Anser albifrons
猎隼 Falco cherrug
牛头伯劳 Lanius bucephalus
田鸫 Turdus pilaris
东方白鹳 Ciconia boyciana
凤头麦鸡 Vanellus vanellus
白头鹀 Emberiza leucocephalos
文须雀 Panurus biarmicus
斑头雁 Anser indicus
灰背鸫 Turdus hortulorum
长尾鸭 Clangula hyemalis
白翅交嘴雀 Loxia leucoptera
红翅旋壁雀 Tichodroma muraria
勺鸡 Pucrasia macrolopha
红腹灰雀 Pyrrhula pyrrhula
西方秧鸡 Rallus aquaticus
白尾海雕 Haliaeetus albicilla
苍头燕雀 Fringilla coelebs
短耳鸮 Asio flammeus
中华秋沙鸭 Mergus squamatus
旋木雀 Certhia familiaris
红交嘴雀 Loxia curvirostra
冠鱼狗 Megaceryle lugubris
松鸦 Garrulus glandarius
大鵟 Buteo hemilasius
金雕 Aquila chrysaetos
秃鹫 Aegypius monachus
北朱雀 Carpodacus roseus
太平鸟 Bombycilla garrulus
红腹红尾鸲 Phoenicurus erythrogastrus
黑喉鸫 (黑颈鸫) Turdus atrogularis
大麻鳽 Botaurus stellaris
斑头秋沙鸭 (白秋沙鸭) Mergellus albellus
花脸鸭 Sibirionetta formosa
翘鼻麻鸭 Tadorna tadorna
田鹀 Emberiza rustica
北领角鸮 (日本角鸮) Otus semitorques
白腰朱顶雀/极北朱顶雀/小白腰朱顶雀 Acanthis flammea
黑头蜡嘴雀 Eophona personata
戴菊 Regulus regulus
棕眉山岩鹨 Prunella montanella
凤头潜鸭 Aythya fuligula
芦鹀 Emberiza schoeniclus
铁爪鹀 Calcarius lapponicus
角百灵 Eremophila alpestris
普通海鸥 Larus canus
灰鹤 Grus grus
大鸨 Otis tarda
鹪鹩 Troglodytes troglodytes
北长尾山雀 Aegithalos caudatus
赤嘴潜鸭 Netta rufina
琵嘴鸭 Spatula clypeata
豆雁 Anser fabalis
小白额雁 Anser erythropus
黄雀 Spinus spinus
黄腹鹨 Anthus japonicus
紫翅椋鸟 Sturnus vulgaris
长嘴半蹼鹬 (长嘴鹬) Limnodromus scolopaceus
鹊鸭 Bucephala clangula
斑背潜鸭 Aythya marila
苍鹰 Astur gentilis
红头潜鸭 Aythya ferina
赤颈鸭 Mareca penelope
红喉鹨 Anthus cervinus
渔鸥 Ichthyaetus ichthyaetus
黑腹滨鹬 Calidris alpina
小田鸡 Zapornia pusilla
针尾鸭 Anas acuta
黄眉鹀 Emberiza chrysophrys
白尾鹞 Circus cyaneus
白眼潜鸭 Aythya nyroca
云雀 Alauda arvensis
鹌鹑 Coturnix japonica
星鸦 (南星鸦) Nucifraga hemispila
发冠卷尾 Dicrurus hottentottus
蓝歌鸲 Larvivora cyane
灰脸鵟鹰 Butastur indicus
日本松雀鹰 Tachyspiza gularis
鹤鹬 Tringa erythropus
淡脚柳莺 Phylloscopus tenellipes
棕腹啄木鸟 Dendrocopos hyperythrus
普通䴓 Sitta europaea
楔尾伯劳 Lanius sphenocercus
黑枕黄鹂 Oriolus chinensis
蚁䴕 Jynx torquilla
红脚鹬 Tringa totanus
大杓鹬 Numenius madagascariensis
中杓鹬 Numenius phaeopus
长嘴剑鸻 Thinornis placidus
栗苇鳽 Botaurus cinnamomeus
中白鹭 Ardea intermedia
乌鹟 Muscicapa sibirica
极北柳莺 Phylloscopus borealis
斑背大尾莺 Helopsaltes pryeri
大鹰鹃 Hierococcyx sparverioides
锡嘴雀 Coccothraustes coccothraustes
绿鹭 Butorides striata
纵纹腹小鸮 Athene noctua
普通朱雀 Carpodacus erythrinus
山麻雀 Passer cinnamomeus
蓝矶鸫 Monticola solitarius
白眉姬鹟 Ficedula zanthopygia
岩燕 Ptyonoprogne rupestris
蓝翡翠 Halcyon pileata
岩鸽 Columba rupestris
噪鹃 Eudynamys scolopaceus
鳞头树莺 Urosphena squameiceps
冠纹柳莺 Phylloscopus claudiae
冕柳莺 Phylloscopus coronatus
煤山雀 Periparus ater
长尾山椒鸟 Pericrocotus ethologus
中华朱雀 (红眉朱雀) Carpodacus davidianus
粉红胸鹨 Anthus roseatus
棕眉柳莺 Phylloscopus armandii
云南柳莺 Phylloscopus yunnanensis
红嘴山鸦 Pyrrhocorax pyrrhocorax
黑鹳 Ciconia nigra
小蝗莺 Helopsaltes certhiola
白腰雨燕 Apus pacificus
黄头鹡鸰 Motacilla citreola
棕扇尾莺 Cisticola juncidis
尖尾滨鹬 Calidris acuminata
双斑绿柳莺 Phylloscopus plumbeitarsus
北椋鸟 Agropsar sturninus
赤腹鹰 Tachyspiza soloensis
黄苇鳽 Botaurus sinensis
灰头鹀 Emberiza spodocephala
厚嘴苇莺 Arundinax aedon
黑翅鸢 Elanus caeruleus
牛背鹭 Ardea coromanda
凤头蜂鹰 Pernis ptilorhynchus
四声杜鹃 Cuculus micropterus
须浮鸥 Chlidonias hybrida
鸥嘴噪鸥 Gelochelidon nilotica
白额燕鸥 Sternula albifrons
弯嘴滨鹬 Calidris ferruginea
青脚鹬 Tringa nebularia
林鹬 Tringa glareola
黑尾塍鹬 Limosa limosa
栗耳鹀 Emberiza fucata
理氏鹨 Anthus richardi
红喉歌鸲 Calliope calliope
蓝喉歌鸲 Luscinia svecica
巨嘴柳莺 Phylloscopus schwarzi
中华攀雀 Remiz consobrinus
红脚隼 (阿穆尔隼) Falco amurensis
鹊鹞 Circus melanoleucos
草鹭 Ardea purpurea
白翅浮鸥 Chlidonias leucopterus
针尾沙锥 Gallinago stenura
灰头麦鸡 Vanellus cinereus
金斑鸻 Pluvialis fulva
普通秧鸡 Rallus indicus
青头潜鸭 Aythya baeri
小太平鸟 Bombycilla japonica
红尾伯劳 Lanius cristatus
白眉鹀 Emberiza tristrami
栗鹀 Emberiza rutila
黑卷尾 Dicrurus macrocercus
大杜鹃 Cuculus canorus
三道眉草鹀 Emberiza cioides
黄鹡鸰 Motacilla tschutschensis
扇尾沙锥 Gallinago gallinago
北灰鹟 Muscicapa dauurica
东方大苇莺 Acrocephalus orientalis
黑眉苇莺 Acrocephalus bistrigiceps
普通燕鸥 Sterna hirundo
池鹭 Ardeola bacchus
